"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1920780623582548043","Fri May 09 14:13:21 +0000 2025","0","@snoepie50 You can use our translation scripts to watch that video from LJH because it contained many phone recordings. I think it helps you better understand the meaning.","1920844541994614964","","EchoesOfKSH_CN","en","","0","0","0","https://x.com/EchoesOfKSH_CN/status/1920844541994614964","1868544523565158400","EchoesOfKSH_CN"
"1920780623582548043","Fri May 09 14:11:34 +0000 2025","0","@snoepie50 Q6 is because Garosero claimed that the phone had already been handed over to the FBI for investigation but LJH released the recording and clips from other channels to prove that Garo's claim was baseless. +","1920844094487646707","","EchoesOfKSH_CN","en","","0","1","0","https://x.com/EchoesOfKSH_CN/status/1920844094487646707","1868544523565158400","EchoesOfKSH_CN"
"1920780623582548043","Fri May 09 14:10:05 +0000 2025","0","@snoepie50 Yes they re the same. Q3 is because Garo claimed that the whistleblower had a phone call with LJH before being attacked but LJH released the recording to prove that it was actually the whistleblower who called him and only said those things. +","1920843720288620762","","snoepie50","en","","0","1","0","https://x.com/EchoesOfKSH_CN/status/1920843720288620762","1868544523565158400","EchoesOfKSH_CN"
"1920834268164452670","Fri May 09 13:32:31 +0000 2025","65","Kim Soo-hyun cheer up a little! More and more people are rooting for you! ️ #KimSooHyun #WeStandWithKimSooHyun https://t.co/ybm6ma7mGn","1920834268164452670","https://pbs.twimg.com/media/GqgslgSXMAMpGRK.jpg","","en"," 🇮🇳 ","2","0","20","https://x.com/dramaLove05/status/1920834268164452670","1635969497218572290","dramaLove05"
"1920834076505673917","Fri May 09 13:31:45 +0000 2025","38"," [ DdeunDdeun YT ] Good Boy Cast Eps 78 #KimSoHyun #ParkBoGum #LeeSangYi #김소현 https://t.co/JOkeORbr6D https://t.co/a9OLJvpv6c","1920834076505673917","https://pbs.twimg.com/media/GqgsaYKbcAAxUUo.jpg","","en","Indonesia ","1","0","8","https://x.com/KSH_daily/status/1920834076505673917","1031422492995248128","KSH_daily"
"1920459403041399246","Fri May 09 13:18:05 +0000 2025","0","@xctariy @kdrama_menfess Stop making dangerous remarks. Actor Kim Soo-hyun dated when he was an adult and only tells the truth. Gase-yeon faked everything. The truth is coming out. Tell me properly. ️️️️️️️️","1920830636937367799","","xctariy","en","","0","1","0","https://x.com/kshyeji/status/1920830636937367799","1804028335892369408","kshyeji"
"1920828125438459994","Fri May 09 13:08:07 +0000 2025","5","Gua benci bgt ama akun yg pake ava kim jiwon tp isinya ngebelain cowo kek KSH yg pas jiwon direndahin mrka diem doang tp pas kondisi kek gini mrka koar dan ngatain solo stan jiwon toxic pdhal as fans cman mau ngelindungi Jiwon dri cowo kek KSH .","1920828125438459994","","","in","she/her 🇮🇩","0","1","0","https://x.com/fallinlight_16/status/1920828125438459994","927019262551646208","fallinlight_16"
"1920827939500761451","Fri May 09 13:07:22 +0000 2025","1","meu deus eu fico tão triste quando lembro que a kim jiwon e a seo yeji beijaram aquela desgraça do KSH","1920827939500761451","","","pt"," twice ༚ ateez ༚ mmm ༚ gl's ","0","0","0","https://x.com/who_ismi/status/1920827939500761451","1213239508331724800","who_ismi"
"1920825193351553085","Fri May 09 12:56:27 +0000 2025","1","#KimSooHyun so the rumours were true. They are going to make kim soo-hyun the centre of attention until south Korean elections are held in June.","1920825193351553085","","","en","","0","0","0","https://x.com/JoannaKateJK/status/1920825193351553085","1405707191173238786","JoannaKateJK"
"1920824196172546151","Fri May 09 12:52:30 +0000 2025","43","We are coming for agencies now!!! Saying KSH dated KSR while she was in your agency and you're silent makes you COMPLICIT. You MUST DROP A STATEMENT TO CLARIFY. You are allowing an innocent man to be humiliated when you were supposed to be guiding Kim Sae Ron! If she was https://t.co/Yep9HGpejb","1920824196172546151","https://pbs.twimg.com/media/Gqgja1mWEAAs18b.jpg","","en","Astral Projection ","0","3","16","https://x.com/BigSis9ja/status/1920824196172546151","843292165073768448","BigSis9ja"
"1920823611079725252","Fri May 09 12:50:10 +0000 2025","1","[JYP Rumored Male Trainee] Samuel (새뮤얼) - Real name: Samuel Han (새뮤얼 한) - Korean-American - 17 years old (18 in Korean age) - Position: Sub Rapper Writing lyrics Lead Dancer Choreography - Visual resemblance to Kim Soo-hyun - Height: 179cm (5'10.5 ) #KPOP #JYPNBG","1920823611079725252","","","en","California, United States","0","0","0","https://x.com/jyp_traineess/status/1920823611079725252","1868917496826548224","jyp_traineess"
"1920823364676985331","Fri May 09 12:49:11 +0000 2025","0","A 2022 audit revealed Ksh. 18M in unaccounted expenditures under Mutua s watch. No receipts no documentation just flashy spending with zero benefit to artists. #AccountabilityInCMOs MCSK Rejects Mutua #EzekielMutuaExitNow https://t.co/VAc2GhNu2n","1920823364676985331","https://pbs.twimg.com/media/GqgipeFW4AAy0tA.jpg","","en","ruiru","0","0","0","https://x.com/KimBadeji/status/1920823364676985331","250512745","KimBadeji"
"1920819782934311065","Fri May 09 12:34:58 +0000 2025","15","Fans from all over the world are eagerly waiting for Kim Soo-hyun and the knock-off. Give us the knock-off already! @DisneyPlus @DisneyPlusKR #김수현 #KimSoohyun #디즈니플러스 #넉오프 #knockoff #金秀賢 #キムスヒョン #คิมซูฮยอน #WeStandWithKimSooHyun https://t.co/8kDneyrRSS","1920819782934311065","https://pbs.twimg.com/media/GqgfaaXXkAAXeJE.jpg","","en","🇮🇳","0","0","2","https://x.com/Nikki_9876/status/1920819782934311065","1778262531100008448","Nikki_9876"
"1920819568722760062","Fri May 09 12:34:06 +0000 2025","8","garesero and kim saeron family is totally finished after 7th may press conference i will say well done LKB team for exposing all lies within 30s. in KSH &amp; LKB we trust &amp; believe. #KimSooHyun #WeStandWithKimSooHyun","1920819568722760062","","","en","","0","1","0","https://x.com/Arationallkkxx/status/1920819568722760062","1574668540334178304","Arationallkkxx"
"1920621023231090850","Fri May 09 12:30:02 +0000 2025","0","@tash_kim_ Exactly they are jealous for all you did all ksh fans did to him. We thank u with big love Tash. Let haters boiling and roasted in their hatred till the end... ","1920818543815213095","","tash_kim_","en","","0","0","0","https://x.com/SoraNiAletheia/status/1920818543815213095","1732756695800229888","SoraNiAletheia"
"1920817305648271454","Fri May 09 12:25:07 +0000 2025","5","Our star Kim Soo-hyun s out here battling this toxic hater circus. Yo it s not just Korea s mess! Time to yeet this bonkers vibe into oblivion. #WeStandWithKimSooHyun GLOBAL FANDOM ONE VOICE FOR TRUTH #ProtectKimSooHyunKnockOffTruth #KEIKONICEFIGHT","1920817305648271454","","","en","","0","0","0","https://x.com/memesasasaw/status/1920817305648271454","1603005918156726272","memesasasaw"
"1920738980342939663","Fri May 09 12:21:48 +0000 2025","7","@ksh_espana ¡Eso es! Garo Sero ni sabrá por dónde le cayó el fandom global de norte a sur de este a oeste el mundo entero defiende a Kim Soo Hyun. Tú eliges por dónde empezar nosotros ya elegimos de qué lado de la historia estaremos. #WeStandWithKimSooHyun GLOBAL FANDOM ","1920816469530546578","","ksh_espana","es","London, England","0","0","3","https://x.com/Londvoting/status/1920816469530546578","1863731754474889216","Londvoting"
"1920812674759250011","Fri May 09 12:06:43 +0000 2025","3","The man behind the Kim Soo-hyun allegations admits: It was all fake. 🇰🇷 Korean reaction: Enough. Everyone involved looks disgusting. Global reaction: This was a witch hunt from the start. #KimSooHyun #KDrama https://t.co/a4XXgS3gDz","1920812674759250011","","","en","","0","0","1","https://x.com/KBuzzLab_News/status/1920812674759250011","1891043640212070400","KBuzzLab_News"
"1920812294096785707","Fri May 09 12:05:12 +0000 2025","129","[Daily Dose of Soohyun] 20161023 | Participated in a professional bowling tournament Kim Bowling #WeStandWithKimSooHyun #김수현 #KimSooHyun #金秀賢 #キムスヒョン #คิมซูฮยอน https://t.co/cXDplPRGvL","1920812294096785707","https://pbs.twimg.com/amplify_video_thumb/1920811861206855680/img/xmvtGfQIKocXcHcf.jpg","","en","","0","0","31","https://x.com/EchoesOfKSH_CN/status/1920812294096785707","1868544523565158400","EchoesOfKSH_CN"
