"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1924789787791065345","Tue May 20 12:19:42 +0000 2025","0","@StandardKenya majambazi https://t.co/jznafRhF97","1924802207850865060","https://pbs.twimg.com/ext_tw_video_thumb/1116924771483181057/pu/img/JnabZvjjMvIig6ka.jpg","StandardKenya","in","","0","0","0","https://x.com/254ksh/status/1924802207850865060","1582673026402996224","254ksh"
"1924796171706630412","Tue May 20 11:55:42 +0000 2025","7","Tanggapan GM terkait berita kemarin yg katanya pihak 7-Eleven mau nuntut ganti rugi. Perwakilan Kim Soo-Hyun menyatakan kepada TV Daily: Kami belum menerima apapun dari 7-Eleven Taiwan. Kami belum menerima pengaduan. #WeStandWithKimSooHyun","1924796171706630412","","","in","","0","1","2","https://x.com/soohyunkim_zizi/status/1924796171706630412","1890258850819014656","soohyunkim_zizi"
"1924751871983681932","Tue May 20 08:59:41 +0000 2025","0","Klaim Kim Soo-hyun Terlibat dalam Penyerangan Seorang Whistleblower Dipastikan tidak Terbukti. #KimSooHyun https://t.co/q9zuH4IhlM","1924751871983681932","","","in","","0","0","0","https://x.com/vibrance_magz/status/1924751871983681932","1694256481389195264","vibrance_magz"
"1924680057831772340","Tue May 20 07:40:19 +0000 2025","2","@PwaniTribune CCM ndio mnyama mbaya Samia tu ni Katibu mkuu ni kama Zanu-Pf ama ANC retaining power at all cost.","1924731901073363081","","PwaniTribune","in","","0","1","1","https://x.com/254ksh/status/1924731901073363081","1582673026402996224","254ksh"
"1924731609691066709","Tue May 20 07:39:10 +0000 2025","5","Kim Soo-hyun Terancam Digugat Rp70 M Buntut Batal Fan Meeting https://t.co/tiuQKnZOjX","1924731609691066709","","","in","","0","0","1","https://x.com/CNNIndonesia/status/1924731609691066709","17128975","CNNIndonesia"
"1924338634582307219","Tue May 20 07:05:14 +0000 2025","0","@eztt2_ Aku sampe googling tau wkwkwj Trnyata the king that embraces the sun itu jg double in law Kan si yeo jin goo mau nikahin kim yoojung tp batal. Lalu malah adeknya jingoo nikah sama kakaknya yoojung. At the end ksh nikah sama han gain Nah mereka double in law tuh","1924723071887540629","","eztt2_","in","","0","0","0","https://x.com/moodyxmessy/status/1924723071887540629","220534889","moodyxmessy"
"1923616242511847882","Tue May 20 06:20:39 +0000 2025","0","@Pchumba__sawe @B3laze Umejiuliza mlitoa sidumbulu wapi?","1924711852233089361","","Pchumba__sawe","in","","0","1","0","https://x.com/254ksh/status/1924711852233089361","1582673026402996224","254ksh"
"1924710883051143556","Tue May 20 06:16:48 +0000 2025","0","Those Tanzanians who facilitated the infrontness of Kenyans yesterday watajua hawaui CCM watahakikisha no one ever tries that shi again ever. Mtajua mama ni kichwa kibov tu kama mwenda-zake!","1924710883051143556","","","in","","0","0","0","https://x.com/254ksh/status/1924710883051143556","1582673026402996224","254ksh"
"1924697618774471147","Tue May 20 05:24:06 +0000 2025","1","Kimbelele na kiherere na kujifanya wajuaji idiots!","1924697618774471147","","","in","","0","0","0","https://x.com/254ksh/status/1924697618774471147","1582673026402996224","254ksh"
"1924665066252795912","Tue May 20 03:15:43 +0000 2025","2","Dalam pemungutan suara ini di mana total 10 tim berkompetisi mereka menunjukkan popularitas yang luar biasa dengan unggul 17.292 suara atas posisi kedua Kim Soo-hyun dan Kim Ji-won (171.005 suara). #ChaeSooBin #채수빈","1924665310256513510","","soobin_id","in","","0","1","0","https://x.com/soobin_id/status/1924665310256513510","1888547868631519233","soobin_id"
